Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,83.870003,84.730003,83.860001,84.730003,75.750381,198900
2018-01-03,84.820000,84.870003,84.629997,84.830002,75.839783,572700
2018-01-04,85.029999,85.339996,84.839996,85.300003,76.259979,434700
2018-01-05,85.610001,85.699997,85.360001,85.690002,76.608658,180100
2018-01-08,85.750000,85.860001,85.400002,85.860001,76.760635,348400
2018-01-09,85.830002,86.120003,85.760002,85.849998,76.751686,503500
2018-01-10,85.669998,86.089996,85.459999,85.860001,76.760635,339900
2018-01-11,86.150002,86.919998,86.120003,86.919998,77.708298,740900
2018-01-12,87.180000,87.629997,87.180000,87.580002,78.298347,108300
2018-01-16,88.129997,88.279999,86.970001,87.250000,78.003326,439200
2018-01-17,87.379997,88.230003,87.190002,88.089996,78.754280,158800
2018-01-18,88.160004,88.199997,87.820000,87.989998,78.664894,278100
2018-01-19,88.320000,88.320000,87.779999,88.190002,78.843697,240200
2018-01-22,88.230003,88.830002,88.080002,88.830002,79.415878,120200
2018-01-23,88.809998,88.970001,88.529999,88.849998,79.433762,176300
2018-01-24,89.000000,89.099998,88.089996,88.589996,79.201302,282200
2018-01-25,88.970001,88.970001,87.879997,88.150002,78.807953,175900
2018-01-26,88.480003,89.389999,88.480003,89.389999,79.916512,506100
2018-01-29,89.209999,89.400002,88.870003,88.930000,79.505280,199700
2018-01-30,87.989998,88.209999,87.330002,87.580002,78.298347,294900
2018-01-31,87.849998,88.099998,86.889999,87.269997,78.021202,580700
2018-02-01,86.830002,87.470001,86.820000,87.099998,77.869209,289900
2018-02-02,86.650002,86.650002,84.790001,84.830002,75.839783,260000
2018-02-05,84.150002,85.190002,81.379997,81.570000,72.925285,632400
2018-02-06,80.019997,83.680000,80.019997,83.489998,74.641808,850900
2018-02-07,83.169998,84.699997,83.169998,83.360001,74.525566,635800
2018-02-08,83.389999,83.599998,80.260002,80.260002,71.754112,754600
2018-02-09,81.250000,81.779999,78.500000,81.239998,72.630249,717600
2018-02-12,81.919998,82.980003,81.419998,82.459999,73.720970,379300
2018-02-13,82.129997,82.900002,81.900002,82.779999,74.007034,371900
2018-02-14,82.169998,84.120003,82.169998,84.029999,75.124588,281100
2018-02-15,84.639999,84.860001,83.660004,84.860001,75.866608,272400
2018-02-16,84.690002,85.620003,84.669998,84.839996,75.848724,1266700
2018-02-20,84.400002,84.849998,83.860001,84.160004,75.240799,270200
2018-02-21,84.209999,85.089996,83.610001,83.650002,74.784851,242600
2018-02-22,84.110001,84.610001,83.559998,83.760002,74.883179,506100
2018-02-23,84.349998,85.139999,84.150002,85.139999,76.116943,132300
2018-02-26,85.599998,86.300003,85.309998,86.239998,77.100349,200200
2018-02-27,86.349998,86.750000,85.269997,85.269997,76.233154,458300
2018-02-28,85.769997,85.809998,84.379997,84.389999,75.446426,191700
2018-03-01,84.330002,84.940002,82.559998,83.239998,74.418312,1335000
2018-03-02,82.540001,83.809998,82.199997,83.669998,74.802719,489300
2018-03-05,83.120003,84.760002,83.120003,84.540001,75.580536,147900
2018-03-06,84.940002,85.000000,84.339996,84.849998,75.857674,131900
2018-03-07,84.139999,84.730003,83.830002,84.620003,75.652046,192600
2018-03-08,85.019997,85.019997,84.290001,84.800003,75.812981,299800
2018-03-09,85.220001,86.209999,85.169998,86.209999,77.073532,277600
2018-03-12,86.410004,86.500000,86.010002,86.220001,77.082466,820900
2018-03-13,86.720001,87.050003,85.750000,85.980003,76.867920,153400
2018-03-14,86.269997,86.489998,85.199997,85.379997,76.331505,143200
2018-03-15,85.489998,85.709999,84.980003,85.160004,76.134811,80100
2018-03-16,85.220001,85.900002,85.220001,85.550003,76.483498,250100
2018-03-19,85.279999,85.389999,83.849998,84.459999,75.508995,147800
2018-03-20,84.769997,84.889999,84.430000,84.589996,75.625229,106500
2018-03-21,84.599998,85.269997,84.440002,84.440002,75.491112,184100
2018-03-22,83.320000,83.570000,81.949997,82.000000,73.714775,306500
2018-03-23,82.239998,82.239998,79.930000,79.980003,71.898865,637900
2018-03-26,81.349998,82.400002,80.519997,82.339996,74.020416,735100
2018-03-27,82.730003,82.830002,80.470001,80.989998,72.806831,463300
2018-03-28,81.089996,81.730003,80.580002,80.870003,72.698944,613600
2018-03-29,81.389999,82.480003,81.209999,82.019997,73.732758,243700
2018-04-02,81.650002,81.930000,79.169998,80.169998,72.069687,696200
2018-04-03,80.489998,81.480003,80.120003,81.360001,73.139450,897700
2018-04-04,80.120003,82.500000,80.110001,82.330002,74.011429,328700
